"Epoch","s3dis/semseg-octformer-v1m1-0-lit - _step","s3dis/semseg-octformer-v1m1-0-lit - _step__MIN","s3dis/semseg-octformer-v1m1-0-lit - _step__MAX","s3dis/semseg-octformer-v1m1-0-lit - train/loss","s3dis/semseg-octformer-v1m1-0-lit - train/loss__MIN","s3dis/semseg-octformer-v1m1-0-lit - train/loss__MAX"
"1","76","76","76","1.6136860816102279","1.6136860816102279","1.6136860816102279"
"2","152","152","152","1.1380726200969595","1.1380726200969595","1.1380726200969595"
"3","228","228","228","1.086496983703814","1.086496983703814","1.086496983703814"
"4","304","304","304","1.086717047973683","1.086717047973683","1.086717047973683"
"5","380","380","380","1.1062228648286117","1.1062228648286117","1.1062228648286117"
"6","456","456","456","1.2348871921238147","1.2348871921238147","1.2348871921238147"
"7","532","532","532","1.2244927326315327","1.2244927326315327","1.2244927326315327"
"8","608","608","608","1.1577508418183577","1.1577508418183577","1.1577508418183577"
"9","684","684","684","1.200645882048105","1.200645882048105","1.200645882048105"
"10","760","760","760","1.1584886053675099","1.1584886053675099","1.1584886053675099"
"11","836","836","836","1.145500272512436","1.145500272512436","1.145500272512436"
"12","912","912","912","1.0952622482651158","1.0952622482651158","1.0952622482651158"
"13","988","988","988","1.0589960005722547","1.0589960005722547","1.0589960005722547"
"14","1064","1064","1064","1.0449020093993138","1.0449020093993138","1.0449020093993138"
"15","1140","1140","1140","1.0643167903548794","1.0643167903548794","1.0643167903548794"
"16","1216","1216","1216","1.0505444517261104","1.0505444517261104","1.0505444517261104"
"17","1292","1292","1292","1.0462673635859239","1.0462673635859239","1.0462673635859239"
"18","1368","1368","1368","1.0352590154660375","1.0352590154660375","1.0352590154660375"
"19","1444","1444","1444","1.0178217660439641","1.0178217660439641","1.0178217660439641"
"20","1520","1520","1520","0.9994045676369416","0.9994045676369416","0.9994045676369416"
"21","1596","1596","1596","1.0196049017341513","1.0196049017341513","1.0196049017341513"
"22","1672","1672","1672","1.0084788485577232","1.0084788485577232","1.0084788485577232"
"23","1748","1748","1748","0.9885686439903159","0.9885686439903159","0.9885686439903159"
"24","1824","1824","1824","0.9855407147031081","0.9855407147031081","0.9855407147031081"
"25","1900","1900","1900","0.984478044666742","0.984478044666742","0.984478044666742"
"26","1976","1976","1976","0.9793381863518765","0.9793381863518765","0.9793381863518765"
"27","2052","2052","2052","0.9632055626103753","0.9632055626103753","0.9632055626103753"
"28","2128","2128","2128","0.9612341970205307","0.9612341970205307","0.9612341970205307"
"29","2204","2204","2204","0.9549791412918192","0.9549791412918192","0.9549791412918192"
"30","2280","2280","2280","0.977175205161697","0.977175205161697","0.977175205161697"
"31","2356","2356","2356","1.0093667781666706","1.0093667781666706","1.0093667781666706"
"32","2432","2432","2432","0.974218310494172","0.974218310494172","0.974218310494172"
"33","2508","2508","2508","0.971710844259513","0.971710844259513","0.971710844259513"
"34","2584","2584","2584","0.9387541538790652","0.9387541538790652","0.9387541538790652"
"35","2660","2660","2660","0.9240969788087042","0.9240969788087042","0.9240969788087042"
"36","2736","2736","2736","0.9080378773965334","0.9080378773965334","0.9080378773965334"
"37","2812","2812","2812","0.8988535310092726","0.8988535310092726","0.8988535310092726"
"38","2888","2888","2888","0.8867591290097487","0.8867591290097487","0.8867591290097487"
"39","2964","2964","2964","0.8652966344042828","0.8652966344042828","0.8652966344042828"
"40","3040","3040","3040","0.8661993577292091","0.8661993577292091","0.8661993577292091"
"41","3116","3116","3116","0.8651669629310307","0.8651669629310307","0.8651669629310307"
"42","3192","3192","3192","0.8849789139471556","0.8849789139471556","0.8849789139471556"
"43","3268","3268","3268","0.9072517360511579","0.9072517360511579","0.9072517360511579"
"44","3344","3344","3344","0.8824899008399562","0.8824899008399562","0.8824899008399562"
"45","3420","3420","3420","0.9167344781913256","0.9167344781913256","0.9167344781913256"
"46","3496","3496","3496","0.8941018965683485","0.8941018965683485","0.8941018965683485"
"47","3572","3572","3572","0.8756431286272249","0.8756431286272249","0.8756431286272249"
"48","3648","3648","3648","0.8710495296277498","0.8710495296277498","0.8710495296277498"
"49","3724","3724","3724","0.8659008270815799","0.8659008270815799","0.8659008270815799"
"50","3800","3800","3800","0.85866285154694","0.85866285154694","0.85866285154694"
"51","3876","3876","3876","0.8306642786452645","0.8306642786452645","0.8306642786452645"
"52","3952","3952","3952","0.8465906805113742","0.8465906805113742","0.8465906805113742"
"53","4028","4028","4028","0.8602186355151629","0.8602186355151629","0.8602186355151629"
"54","4104","4104","4104","0.8395056034389295","0.8395056034389295","0.8395056034389295"
"55","4180","4180","4180","0.8435805377207304","0.8435805377207304","0.8435805377207304"
"56","4256","4256","4256","0.8144066765120155","0.8144066765120155","0.8144066765120155"
"57","4332","4332","4332","0.8115201663029822","0.8115201663029822","0.8115201663029822"
"58","4408","4408","4408","0.8037257931734386","0.8037257931734386","0.8037257931734386"
"59","4484","4484","4484","0.8086877112325869","0.8086877112325869","0.8086877112325869"
"60","4560","4560","4560","0.7960025872054853","0.7960025872054853","0.7960025872054853"
"61","4636","4636","4636","0.768461696411434","0.768461696411434","0.768461696411434"
"62","4712","4712","4712","0.7146646945100081","0.7146646945100081","0.7146646945100081"
"63","4788","4788","4788","0.7282000842847323","0.7282000842847323","0.7282000842847323"
"64","4864","4864","4864","0.7275697910471967","0.7275697910471967","0.7275697910471967"
"65","4940","4940","4940","0.7275337608237016","0.7275337608237016","0.7275337608237016"
"66","5016","5016","5016","0.7228252966152994","0.7228252966152994","0.7228252966152994"
"67","5092","5092","5092","0.7164242597002732","0.7164242597002732","0.7164242597002732"
"68","5168","5168","5168","0.7110907968721891","0.7110907968721891","0.7110907968721891"
"69","5244","5244","5244","0.7097596232044069","0.7097596232044069","0.7097596232044069"
"70","5320","5320","5320","0.7062818604080301","0.7062818604080301","0.7062818604080301"
"71","5396","5396","5396","0.708025787221758","0.708025787221758","0.708025787221758"
"72","5472","5472","5472","0.7170033635277497","0.7170033635277497","0.7170033635277497"
"73","5548","5548","5548","0.716874919439617","0.716874919439617","0.716874919439617"
"74","5624","5624","5624","0.7058009497429195","0.7058009497429195","0.7058009497429195"
"75","5700","5700","5700","0.7050046136504725","0.7050046136504725","0.7050046136504725"
"76","5776","5776","5776","0.7180386640523609","0.7180386640523609","0.7180386640523609"
"77","5852","5852","5852","0.7063236848304146","0.7063236848304146","0.7063236848304146"
"78","5928","5928","5928","0.6934118557133173","0.6934118557133173","0.6934118557133173"
"79","6004","6004","6004","0.6916816791421488","0.6916816791421488","0.6916816791421488"
"80","6080","6080","6080","0.6767579054361895","0.6767579054361895","0.6767579054361895"
"81","6156","6156","6156","0.6925759409603319","0.6925759409603319","0.6925759409603319"
"82","6232","6232","6232","0.7014097006697404","0.7014097006697404","0.7014097006697404"
"83","6308","6308","6308","0.6958820474775214","0.6958820474775214","0.6958820474775214"
"84","6384","6384","6384","0.6928860686327282","0.6928860686327282","0.6928860686327282"
"85","6460","6460","6460","0.6951840551275956","0.6951840551275956","0.6951840551275956"
"86","6536","6536","6536","0.6846330620740589","0.6846330620740589","0.6846330620740589"
"87","6612","6612","6612","0.6839479411903181","0.6839479411903181","0.6839479411903181"
"88","6688","6688","6688","0.6811783251009489","0.6811783251009489","0.6811783251009489"
"89","6764","6764","6764","0.6750003891555887","0.6750003891555887","0.6750003891555887"
"90","6840","6840","6840","0.6785916384113463","0.6785916384113463","0.6785916384113463"
"91","6916","6916","6916","0.6851430339248556","0.6851430339248556","0.6851430339248556"
"92","6992","6992","6992","0.6589392831451014","0.6589392831451014","0.6589392831451014"
"93","7068","7068","7068","0.6601685889457402","0.6601685889457402","0.6601685889457402"
"94","7144","7144","7144","0.663160152733326","0.663160152733326","0.663160152733326"
"95","7220","7220","7220","0.6650510967562073","0.6650510967562073","0.6650510967562073"
"96","7296","7296","7296","0.6537596104960692","0.6537596104960692","0.6537596104960692"
"97","7372","7372","7372","0.6648705707568872","0.6648705707568872","0.6648705707568872"
"98","7448","7448","7448","0.6783176809549332","0.6783176809549332","0.6783176809549332"
"99","7524","7524","7524","0.6724100097229606","0.6724100097229606","0.6724100097229606"
"100","7600","7600","7600","0.6705853566527367","0.6705853566527367","0.6705853566527367"